journal_id,name,publisher,scope_keywords,impact_factor_jcr2023,avg_review_time_weeks,apc_if_open_access_usd,open_access_status,required_reference_style,issn,homepage_url,reputation_flag
tpami,IEEE Transactions on Pattern Analysis and Machine Intelligence,IEEE,"computer vision; pattern recognition; machine learning; image analysis",23.6,16,,hybrid,IEEE,0162-8828,https://www.computer.org/csdl/journal/tp,
ijcv,International Journal of Computer Vision,Springer,"computer vision; image understanding; 3D vision; deep learning",19.5,20,3490,hybrid,Springer-Basic,0920-5691,https://www.springer.com/journal/11263,
ivc,Image and Vision Computing,Elsevier,"computer vision; image processing; biometrics; face recognition",4.7,12,,hybrid,Elsevier-Vancouver,0262-8856,https://www.sciencedirect.com/journal/image-and-vision-computing,
cviu,Computer Vision and Image Understanding,Elsevier,"computer vision; scene understanding; image analysis",4.5,14,,hybrid,Elsevier-Vancouver,1077-3142,https://www.sciencedirect.com/journal/computer-vision-and-image-understanding,
patrec,Pattern Recognition,Elsevier,"pattern recognition; machine learning; image classification; clustering",8.0,14,,hybrid,Elsevier-Vancouver,0031-3203,https://www.sciencedirect.com/journal/pattern-recognition,
prl,Pattern Recognition Letters,Elsevier,"pattern recognition; short communications; classifiers; features",5.1,10,,hybrid,Elsevier-Vancouver,0167-8655,https://www.sciencedirect.com/journal/pattern-recognition-letters,
ieee-tip,IEEE Transactions on Image Processing,IEEE,"image processing; restoration; segmentation; compression",10.6,18,,hybrid,IEEE,1057-7149,https://signalprocessingsociety.org/publications-resources/ieee-transactions-image-processing,
ieee-tmm,IEEE Transactions on Multimedia,IEEE,"multimedia; video; audio; cross-modal learning",8.4,16,,hybrid,IEEE,1520-9210,https://signalprocessingsociety.org/publications-resources/ieee-transactions-multimedia,
mva,Machine Vision and Applications,Springer,"machine vision; industrial vision; real-time vision",3.3,14,3490,hybrid,Springer-Basic,0932-8092,https://www.springer.com/journal/138,
tvc,The Visual Computer,Springer,"computer graphics; visualization; computer vision",3.5,12,3490,hybrid,Springer-Basic,0178-2789,https://www.springer.com/journal/371,
comput-linguistics,Computational Linguistics,MIT Press,"natural language processing; computational linguistics; nlp theory",9.3,20,0,gold,ACL,0891-2017,https://direct.mit.edu/coli,
tacl,Transactions of the Association for Computational Linguistics,MIT Press / ACL,"natural language processing; computational linguistics; nlp models",,12,0,gold,ACL,2307-387X,https://transacl.org/,
tallip,ACM Transactions on Asian and Low-Resource Language Information Processing,ACM,"low-resource nlp; asian languages; multilingual nlp",2.0,14,1000,hybrid,ACM,2375-4699,https://dl.acm.org/journal/tallip,
nle,Natural Language Engineering,Cambridge University Press,"natural language engineering; applied nlp; language technology",2.5,16,3470,hybrid,APA,1351-3249,https://www.cambridge.org/core/journals/natural-language-engineering,
lre,Language Resources and Evaluation,Springer,"language resources; corpora; evaluation; annotation",2.1,18,3290,hybrid,Springer-Basic,1574-020X,https://www.springer.com/journal/10579,
taslp,"IEEE/ACM Transactions on Audio, Speech, and Language Processing",IEEE/ACM,"speech processing; audio processing; spoken language",5.4,18,,hybrid,IEEE,2329-9290,https://signalprocessingsociety.org/publications-resources/ieee-acm-transactions-audio-speech-and-language-processing,
speech-comm,Speech Communication,Elsevier,"speech processing; speech recognition; speech synthesis",3.2,14,,hybrid,Elsevier-Vancouver,0167-6393,https://www.sciencedirect.com/journal/speech-communication,
ai-open,AI Open,Elsevier (KeAi),"ai; nlp; large language models; open access ai",,10,0,gold,Elsevier-Vancouver,2666-6510,https://www.sciencedirect.com/journal/ai-open,
jmlr,Journal of Machine Learning Research,JMLR,"machine learning; statistical learning; deep learning; theory",6.0,16,0,gold,JMLR,1532-4435,https://www.jmlr.org/,
jair,Journal of Artificial Intelligence Research,AAAI Press,"artificial intelligence; broad ai; ai theory and applications; diamond open access",4.5,14,0,gold,Vancouver,1076-9757,https://www.jair.org/,
nat-mach-intell,Nature Machine Intelligence,Nature Portfolio,"machine intelligence; ai; deep learning; ai applications; flagship ai journal",23.8,12,11690,hybrid,Vancouver,2522-5839,https://www.nature.com/natmachintell/,
j-mach-learn,Machine Learning,Springer,"machine learning; learning theory; algorithms",4.3,18,3490,hybrid,Springer-Basic,0885-6125,https://www.springer.com/journal/10994,
aij,Artificial Intelligence,Elsevier,"artificial intelligence; knowledge representation; reasoning; planning",5.1,20,,hybrid,Elsevier-Vancouver,0004-3702,https://www.sciencedirect.com/journal/artificial-intelligence,
neural-networks,Neural Networks,Elsevier,"neural networks; deep learning; computational neuroscience",7.8,14,,hybrid,Elsevier-Vancouver,0893-6080,https://www.sciencedirect.com/journal/neural-networks,
neco,Neural Computation,MIT Press,"theoretical neuroscience; neural computation; learning models",2.7,18,0,hybrid,APA,0899-7667,https://direct.mit.edu/neco,
tnnls,IEEE Transactions on Neural Networks and Learning Systems,IEEE,"neural networks; learning systems; deep learning",10.4,16,,hybrid,IEEE,2162-237X,https://cis.ieee.org/publications/t-neural-networks-and-learning-systems,
kbs,Knowledge-Based Systems,Elsevier,"knowledge representation; expert systems; intelligent systems",8.8,12,,hybrid,Elsevier-Vancouver,0950-7051,https://www.sciencedirect.com/journal/knowledge-based-systems,
eswa,Expert Systems with Applications,Elsevier,"expert systems; ai applications; data science",8.5,12,,hybrid,Elsevier-Vancouver,0957-4174,https://www.sciencedirect.com/journal/expert-systems-with-applications,
appl-intell,Applied Intelligence,Springer,"applied ai; intelligent systems; learning algorithms",5.3,16,3490,hybrid,Springer-Basic,0924-669X,https://www.springer.com/journal/10489,
neucom,Neurocomputing,Elsevier,"neural networks; deep learning; pattern classification",6.0,12,,hybrid,Elsevier-Vancouver,0925-2312,https://www.sciencedirect.com/journal/neurocomputing,
paa,Pattern Analysis and Applications,Springer,"pattern analysis; machine learning applications; biometrics",3.9,18,3490,hybrid,Springer-Basic,1433-7541,https://www.springer.com/journal/10044,
tkde,IEEE Transactions on Knowledge and Data Engineering,IEEE,"knowledge engineering; data engineering; databases; data mining",8.9,18,,hybrid,IEEE,1041-4347,https://www.computer.org/csdl/journal/tk,
tkdd,ACM Transactions on Knowledge Discovery from Data,ACM,"knowledge discovery; data mining; analytics",4.0,16,1000,hybrid,ACM,1556-4681,https://dl.acm.org/journal/tkdd,
dmkd,Data Mining and Knowledge Discovery,Springer,"data mining; knowledge discovery; pattern discovery",4.8,18,3490,hybrid,Springer-Basic,1384-5810,https://www.springer.com/journal/10618,
tist,ACM Transactions on Intelligent Systems and Technology,ACM,"intelligent systems; ai applications; data-driven systems",7.2,16,1000,hybrid,ACM,2157-6904,https://dl.acm.org/journal/tist,
tois,ACM Transactions on Information Systems,ACM,"information retrieval; recommender systems; web information systems; nlp for ir",5.6,18,1000,hybrid,ACM,1046-8188,https://dl.acm.org/journal/tois,
inf-sciences,Information Sciences,Elsevier,"information sciences; intelligent systems; soft computing",8.1,12,,hybrid,Elsevier-Vancouver,0020-0255,https://www.sciencedirect.com/journal/information-sciences,
inf-fusion,Information Fusion,Elsevier,"information fusion; multimodal learning; sensor fusion",18.6,12,,hybrid,Elsevier-Vancouver,1566-2535,https://www.sciencedirect.com/journal/information-fusion,
bdr,Big Data Research,Elsevier,"big data; data analytics; distributed systems",3.7,14,,hybrid,Elsevier-Vancouver,2214-5796,https://www.sciencedirect.com/journal/big-data-research,
jbd,Journal of Big Data,Springer Nature,"big data; analytics; machine learning at scale",8.1,10,1990,gold,Springer-Basic,2196-1115,https://journalofbigdata.springeropen.com/,
cacm,Communications of the ACM,ACM,"computing; cs research highlights; software; ai",22.7,20,1000,hybrid,ACM,0001-0782,https://cacm.acm.org/,
csur,ACM Computing Surveys,ACM,"computing surveys; literature reviews; cs",23.8,24,1000,hybrid,ACM,0360-0300,https://dl.acm.org/journal/csur,
ieee-tc,IEEE Transactions on Computers,IEEE,"computer architecture; systems; hardware",3.6,18,,hybrid,IEEE,0018-9340,https://www.computer.org/csdl/journal/tc,
jacm,Journal of the ACM,ACM,"theory of computing; algorithms; complexity",2.5,26,1000,hybrid,ACM,0004-5411,https://dl.acm.org/journal/jacm,
ieee-software,IEEE Software,IEEE,"software engineering practice; software development",3.3,12,,hybrid,IEEE,0740-7459,https://www.computer.org/csdl/magazine/so,
tse,IEEE Transactions on Software Engineering,IEEE,"software engineering; software analysis; testing",6.5,20,,hybrid,IEEE,0098-5589,https://www.computer.org/csdl/journal/ts,
emse,Empirical Software Engineering,Springer,"empirical software engineering; software analytics; studies",3.8,20,3490,hybrid,Springer-Basic,1382-3256,https://www.springer.com/journal/10664,
inf-soft-tech,Information and Software Technology,Elsevier,"software technology; software engineering; tools",3.9,14,,hybrid,Elsevier-Vancouver,0950-5849,https://www.sciencedirect.com/journal/information-and-software-technology,
fgcs,Future Generation Computer Systems,Elsevier,"distributed systems; cloud computing; grid; hpc",7.5,12,,hybrid,Elsevier-Vancouver,0167-739X,https://www.sciencedirect.com/journal/future-generation-computer-systems,
ieee-access,IEEE Access,IEEE,"multidisciplinary; broad scope; rapid review; open access",3.9,4,1995,gold,IEEE,2169-3536,https://ieeeaccess.ieee.org/,
ieee-tro,IEEE Transactions on Robotics,IEEE,"robotics; manipulation; perception; control",9.4,20,,hybrid,IEEE,1552-3098,https://www.ieee-ras.org/publications/t-ro,
ral,IEEE Robotics and Automation Letters,IEEE,"robotics; automation; perception; control; learning for robotics; conference-paired",4.6,10,,hybrid,IEEE,2377-3766,https://www.ieee-ras.org/publications/ra-l,
ijrr,International Journal of Robotics Research,SAGE,"robotics research; long-form papers; experiments",9.2,24,3000,hybrid,SAGE-Vancouver,0278-3649,https://journals.sagepub.com/home/ijr,
auro,Autonomous Robots,Springer,"autonomous robots; mobile robotics; multi-robot",3.7,20,3490,hybrid,Springer-Basic,0929-5593,https://www.springer.com/journal/10514,
rob-auton-syst,Robotics and Autonomous Systems,Elsevier,"robotics; autonomous systems; learning for robotics",4.3,14,,hybrid,Elsevier-Vancouver,0921-8890,https://www.sciencedirect.com/journal/robotics-and-autonomous-systems,
tomm,"ACM Transactions on Multimedia Computing, Communications, and Applications",ACM,"multimedia computing; streaming; multimedia ai",5.2,18,1000,hybrid,ACM,1551-6857,https://dl.acm.org/journal/tomm,
mtap,Multimedia Tools and Applications,Springer,"multimedia tools; image and video applications",3.6,16,3290,hybrid,Springer-Basic,1380-7501,https://www.springer.com/journal/11042,delisted_wos_2024
