rule_id,style_name,reference_type,element_type,rule_attribute,rule_value,example,notes
apa-001,APA 7,journal_article,author,format,"Last, F. M.","Smith, J. A.","All authors inverted (last name first, initials with periods and spaces)"
apa-002,APA 7,journal_article,author,separator,", and use & before last","Smith, J., Jones, B., & Lee, C.","Serial comma; ampersand before final author"
apa-003,APA 7,journal_article,author,et_al_threshold_reflist,21 or more authors,"List first 19, ellipsis, then final author","APA 7 reference-list rule (§9.8); different from older APA editions"
apa-003b,APA 7,journal_article,author,et_al_threshold_intext,3 or more authors,"First in-text cite: (Smith et al., 2024). Two authors always listed.","APA 7 in-text rule (§8.17). Distinct from the ref-list 21+ rule"
apa-004,APA 7,journal_article,year,placement,after author list,"Smith, J. (2024).","In parentheses after author block"
apa-005,APA 7,journal_article,year,format,(YYYY).,(2024).,"Parenthesized followed by period"
apa-006,APA 7,journal_article,title,capitalization,sentence case,Deep learning for medical image analysis.,"Only first word and proper nouns capitalized"
apa-007,APA 7,journal_article,title,formatting,plain text,Deep learning for medical image analysis.,"No italics or quotes for journal article titles"
apa-008,APA 7,journal_article,journal,formatting,italics + title case,Pattern Recognition,"Journal name italicized in title case"
apa-009,APA 7,journal_article,volume,formatting,italics,42,"Volume number italicized, no 'vol.' label"
apa-010,APA 7,journal_article,issue,format,(N),(3),"Issue in parens immediately after volume, not italicized"
apa-011,APA 7,journal_article,pages,format,N–N (en dash),123–145,"APA 7 §6.6 requires en dash for page ranges; many submission systems normalize to hyphen but validator should accept either with a warning"
apa-012,APA 7,journal_article,doi,inclusion,required as URL,https://doi.org/10.xxxx/yyyy,"Full URL form, no 'doi:' prefix"
apa-conf-001,APA 7,conference_paper,full,format,"Author, A. A. (Year, Month). Title of paper [Paper presentation]. Conference Name, Location.","Vaswani, A., Shazeer, N., Parmar, N., et al. (2017, December). Attention is all you need [Paper presentation]. Neural Information Processing Systems (NeurIPS), Long Beach, CA, United States.","For unpublished talks/posters. If proceedings are published, use journal_article format instead"
apa-arxiv-001,APA 7,preprint,full,format,"Author, A. A. (Year). Title of paper. arXiv. https://arxiv.org/abs/NNNN.NNNNN","Vaswani, A., Shazeer, N., Parmar, N., Uszkoreit, J., Jones, L., Gomez, A. N., Kaiser, Ł., & Polosukhin, I. (2017). Attention is all you need. arXiv. https://arxiv.org/abs/1706.03762","APA 7 treats arXiv as a preprint repository; include full URL, no DOI prefix"
apa-book-chapter-001,APA 7,book_chapter,full,format,"Author, A. A. (Year). Title of chapter. In E. E. Editor (Ed.), Title of book (pp. X–Y). Publisher.","LeCun, Y., & Bengio, Y. (1995). Convolutional networks for images, speech, and time series. In M. A. Arbib (Ed.), The handbook of brain theory and neural networks (pp. 255–258). MIT Press.","Editor with (Ed.) or (Eds.) after their name; page range in parens after italicized book title"
ieee-001,IEEE,journal_article,author,format,F. M. Last,"J. A. Smith","Initials first (with periods), then full last name"
ieee-002,IEEE,journal_article,author,separator,", and use 'and' before last","J. Smith, B. Jones, and C. Lee","Oxford comma; 'and' (no ampersand) before final author"
ieee-003,IEEE,journal_article,author,et_al_threshold_reflist,more than 6 authors,"List first author followed by 'et al.'","Reference-list rule; in-text citations are numeric so no in-text et al. rule"
ieee-004,IEEE,journal_article,citation,inline,numeric in brackets,[1] or [2]-[4],"Sequential numbered citations; must appear in order of first appearance"
ieee-005,IEEE,journal_article,year,placement,end of reference,"...vol. 42, no. 3, pp. 123-145, 2024.","Year appears near end, comma-separated"
ieee-006,IEEE,journal_article,title,capitalization,sentence case,"""Deep learning for medical image analysis,""","Only first word capitalized (article titles)"
ieee-007,IEEE,journal_article,title,formatting,double quotes,"""Deep learning for medical image analysis,""","Article title in straight double quotes"
ieee-008,IEEE,journal_article,journal,formatting,italics + abbreviated,IEEE Trans. Pattern Anal. Mach. Intell.,"Use official IEEE journal abbreviations, italicized"
ieee-009,IEEE,journal_article,volume,format,vol. N,vol. 42,"Lowercase 'vol.' label, not italicized"
ieee-010,IEEE,journal_article,issue,format,no. N,no. 3,"Lowercase 'no.' label"
ieee-011,IEEE,journal_article,pages,format,pp. N-N,pp. 123-145,"'pp.' prefix required, hyphen between pages"
ieee-012,IEEE,journal_article,doi,inclusion,recommended,doi: 10.xxxx/yyyy,"DOI with 'doi:' prefix at end of reference"
ieee-conf-001,IEEE,conference_paper,full,format,"A. Author and B. Author, ""Title,"" in Proc. CONF Abbrev., City, Country, Year, pp. X-Y.","A. Vaswani et al., ""Attention is all you need,"" in Proc. NeurIPS, Long Beach, CA, USA, 2017, pp. 5998-6008.","Conference name abbreviated; 'in Proc.' prefix required; venue location optional but recommended"
ieee-arxiv-001,IEEE,preprint,full,format,"A. Author, ""Title,"" arXiv:NNNN.NNNNN, Year.","A. Vaswani et al., ""Attention is all you need,"" arXiv:1706.03762, 2017.","No 'in Proc.' prefix; arXiv ID directly; version suffix (v5) optional when citing a specific revision"
ieee-book-001,IEEE,book,full,format,"A. Author, Title in Italics, edition. City, Country: Publisher, Year.","I. Goodfellow, Y. Bengio, and A. Courville, Deep Learning. Cambridge, MA, USA: MIT Press, 2016.","Book title italicized (no quotes); city + country + publisher format; edition included only if 2nd or later"
van-001,Vancouver,journal_article,author,format,Last FM,Smith JA,"Last name first, initials concatenated with no periods or spaces"
van-002,Vancouver,journal_article,author,separator,", ","Smith JA, Jones BL, Lee CD","Commas only, no 'and' or ampersand before last author"
van-003,Vancouver,journal_article,author,et_al_threshold_reflist,more than 6 authors,"List first 6 followed by 'et al.'","Common medical-style cutoff; in-text citations are numeric so no in-text et al. rule"
van-004,Vancouver,journal_article,citation,inline,numeric superscript or brackets,[1] or ¹,"Sequential numbered; specific format (parens vs brackets vs superscript) varies by journal"
van-005,Vancouver,journal_article,year,placement,after journal name,"Pattern Recognit. 2024;42(3):123-45.","Year follows journal name, before volume"
van-006,Vancouver,journal_article,title,capitalization,sentence case,Deep learning for medical image analysis.,"Only first word and proper nouns capitalized"
van-007,Vancouver,journal_article,title,formatting,plain text,Deep learning for medical image analysis.,"No quotes, no italics"
van-008,Vancouver,journal_article,journal,formatting,abbreviated + plain text,Pattern Recognit.,"Use NLM/Index Medicus abbreviations, not italicized"
van-009,Vancouver,journal_article,volume,format,N,42,"Just the number, no label"
van-010,Vancouver,journal_article,issue,format,(N),(3),"In parens directly after volume, no space"
van-011,Vancouver,journal_article,pages,format,N-N (abbreviated),123-45,"Abbreviated second page (don't repeat overlapping digits)"
